"","year","month","hour","day","x"
"25",2014,4,0,"Weekend",7569
"26",2014,4,1,"Weekend",5415
"27",2014,4,2,"Weekend",3167
"28",2014,4,3,"Weekend",2065
"29",2014,4,4,"Weekend",1391
"30",2014,4,5,"Weekend",1297
"31",2014,4,6,"Weekend",1513
"32",2014,4,7,"Weekend",1983
"33",2014,4,8,"Weekend",2605
"34",2014,4,9,"Weekend",3534
"35",2014,4,10,"Weekend",4199
"36",2014,4,11,"Weekend",4675
"37",2014,4,12,"Weekend",5038
"38",2014,4,13,"Weekend",5448
"39",2014,4,14,"Weekend",5976
"40",2014,4,15,"Weekend",7857
"41",2014,4,16,"Weekend",8899
"42",2014,4,17,"Weekend",8712
"43",2014,4,18,"Weekend",8960
"44",2014,4,19,"Weekend",8108
"45",2014,4,20,"Weekend",7068
"46",2014,4,21,"Weekend",8121
"47",2014,4,22,"Weekend",8132
"48",2014,4,23,"Weekend",6737
"251",2015,4,0,"Weekend",47026
"261",2015,4,1,"Weekend",35750
"271",2015,4,2,"Weekend",25076
"281",2015,4,3,"Weekend",16621
"291",2015,4,4,"Weekend",11844
"301",2015,4,5,"Weekend",7803
"311",2015,4,6,"Weekend",7796
"321",2015,4,7,"Weekend",8650
"331",2015,4,8,"Weekend",11715
"341",2015,4,9,"Weekend",15969
"351",2015,4,10,"Weekend",20551
"361",2015,4,11,"Weekend",23681
"371",2015,4,12,"Weekend",26214
"381",2015,4,13,"Weekend",27410
"391",2015,4,14,"Weekend",28496
"401",2015,4,15,"Weekend",29547
"411",2015,4,16,"Weekend",32926
"421",2015,4,17,"Weekend",36861
"431",2015,4,18,"Weekend",38269
"441",2015,4,19,"Weekend",39437
"451",2015,4,20,"Weekend",39546
"461",2015,4,21,"Weekend",37319
"471",2015,4,22,"Weekend",38531
"481",2015,4,23,"Weekend",38027
