"","year","month","hour","day","x"
"1",2014,4,0,"Weekday",4341
"2",2014,4,1,"Weekday",2354
"3",2014,4,2,"Weekday",1768
"4",2014,4,3,"Weekday",2975
"5",2014,4,4,"Weekday",4704
"6",2014,4,5,"Weekday",8179
"7",2014,4,6,"Weekday",16985
"8",2014,4,7,"Weekday",22941
"9",2014,4,8,"Weekday",20238
"10",2014,4,9,"Weekday",14405
"11",2014,4,10,"Weekday",13666
"12",2014,4,11,"Weekday",14099
"13",2014,4,12,"Weekday",14387
"14",2014,4,13,"Weekday",17155
"15",2014,4,14,"Weekday",21214
"16",2014,4,15,"Weekday",27467
"17",2014,4,16,"Weekday",33104
"18",2014,4,17,"Weekday",36763
"19",2014,4,18,"Weekday",34043
"20",2014,4,19,"Weekday",30815
"21",2014,4,20,"Weekday",29176
"22",2014,4,21,"Weekday",28843
"23",2014,4,22,"Weekday",22513
"24",2014,4,23,"Weekday",13912
"25",2015,4,0,"Weekday",48643
"26",2015,4,1,"Weekday",26854
"27",2015,4,2,"Weekday",15511
"28",2015,4,3,"Weekday",10924
"29",2015,4,4,"Weekday",15312
"30",2015,4,5,"Weekday",24529
"31",2015,4,6,"Weekday",41609
"32",2015,4,7,"Weekday",64680
"33",2015,4,8,"Weekday",84019
"34",2015,4,9,"Weekday",81607
"35",2015,4,10,"Weekday",64097
"36",2015,4,11,"Weekday",58033
"37",2015,4,12,"Weekday",58535
"38",2015,4,13,"Weekday",56768
"39",2015,4,14,"Weekday",62702
"40",2015,4,15,"Weekday",72641
"41",2015,4,16,"Weekday",82516
"42",2015,4,17,"Weekday",97892
"43",2015,4,18,"Weekday",116168
"44",2015,4,19,"Weekday",117726
"45",2015,4,20,"Weekday",115107
"46",2015,4,21,"Weekday",113066
"47",2015,4,22,"Weekday",111457
"48",2015,4,23,"Weekday",95376
